[Pathway Id]	[Pathway]	[Genes]	[Pathway Source]	
PWY-6389	(<i>S</i>)-acetoin biosynthesis	CNAG_00268 | CNAG_06421	MetaCyc	
PWY-6391	<i>meso</i>-butanediol biosynthesis I	CNAG_00105 | CNAG_00141 | CNAG_00836 | CNAG_01097 | CNAG_01116 | CNAG_01257 | CNAG_01558 | CNAG_01615 | CNAG_01777 | CNAG_01794 | CNAG_01896 | CNAG_01914 | CNAG_01947 | CNAG_01952 | CNAG_01954 | CNAG_02181 | CNAG_02182 | CNAG_02473 | CNAG_02478 | CNAG_02553 | CNAG_02717 | CNAG_03011 | CNAG_03400 | CNAG_03983 | CNAG_04112 | CNAG_04209 | CNAG_04392 | CNAG_04657 | CNAG_04955 | CNAG_05095 | CNAG_05534 | CNAG_05979 | CNAG_06027 | CNAG_06764 | CNAG_07782 | CNAG_07801	MetaCyc	
PWY-6392	<i>meso</i>-butanediol biosynthesis II	CNAG_00105 | CNAG_00141 | CNAG_00836 | CNAG_01097 | CNAG_01116 | CNAG_01257 | CNAG_01558 | CNAG_01615 | CNAG_01777 | CNAG_01794 | CNAG_01896 | CNAG_01914 | CNAG_01947 | CNAG_01952 | CNAG_01954 | CNAG_02181 | CNAG_02182 | CNAG_02473 | CNAG_02478 | CNAG_02553 | CNAG_02717 | CNAG_03011 | CNAG_03400 | CNAG_03983 | CNAG_04112 | CNAG_04209 | CNAG_04392 | CNAG_04657 | CNAG_04955 | CNAG_05095 | CNAG_05534 | CNAG_05979 | CNAG_06027 | CNAG_06764 | CNAG_07782 | CNAG_07801	MetaCyc	
PWY-6395	superpathway of seleno-compound metabolism	CNAG_01890 | CNAG_03987 | CNAG_04215 | CNAG_04375 | CNAG_05028 | CNAG_05149 | CNAG_05611 | CNAG_06036	MetaCyc	
PWY-6396	superpathway of 2,3-butanediol biosynthesis	CNAG_00105 | CNAG_00141 | CNAG_00268 | CNAG_00836 | CNAG_01097 | CNAG_01116 | CNAG_01257 | CNAG_01558 | CNAG_01615 | CNAG_01777 | CNAG_01794 | CNAG_01896 | CNAG_01914 | CNAG_01947 | CNAG_01952 | CNAG_01954 | CNAG_02181 | CNAG_02182 | CNAG_02473 | CNAG_02478 | CNAG_02553 | CNAG_02717 | CNAG_03011 | CNAG_03400 | CNAG_03983 | CNAG_04112 | CNAG_04209 | CNAG_04392 | CNAG_04657 | CNAG_04955 | CNAG_05095 | CNAG_05534 | CNAG_05979 | CNAG_06027 | CNAG_06421 | CNAG_06764 | CNAG_07782 | CNAG_07801	MetaCyc	
PWY-6397	mycolyl-arabinogalactan-peptidoglycan complex biosynthesis	CNAG_00289 | CNAG_00365 | CNAG_00484 | CNAG_00697 | CNAG_00831 | CNAG_01050 | CNAG_01247 | CNAG_01385 | CNAG_01489 | CNAG_01656 | CNAG_02715 | CNAG_02871 | CNAG_02892 | CNAG_03096 | CNAG_03113 | CNAG_03158 | CNAG_03532 | CNAG_03648 | CNAG_03832 | CNAG_03855 | CNAG_04320 | CNAG_04355 | CNAG_04383 | CNAG_05023 | CNAG_05148 | CNAG_05268 | CNAG_05851 | CNAG_05881 | CNAG_06050 | CNAG_06379 | CNAG_06501 | CNAG_06918 | CNAG_07527 | CNAG_07570 | CNAG_07937	MetaCyc	
PWY-6401	hispidol and hispidol 4'-<i>O</i>-&beta;-<i>D</i>-glucoside biosynthesis	CNAG_01050 | CNAG_01385 | CNAG_02715 | CNAG_02871 | CNAG_02892 | CNAG_03113 | CNAG_03158 | CNAG_03648 | CNAG_03832 | CNAG_03855 | CNAG_04320 | CNAG_05148 | CNAG_05881 | CNAG_06501 | CNAG_06918 | CNAG_07527	MetaCyc	
PWY-6403	carrageenan biosynthesis	CNAG_04375 | CNAG_05149	MetaCyc	
PWY-6404	superpathway of mycolyl-arabinogalactan-peptidoglycan complex biosynthesis	CNAG_00265 | CNAG_00289 | CNAG_00365 | CNAG_00484 | CNAG_00697 | CNAG_00719 | CNAG_00831 | CNAG_01050 | CNAG_01164 | CNAG_01247 | CNAG_01385 | CNAG_01489 | CNAG_01634 | CNAG_01656 | CNAG_02084 | CNAG_02715 | CNAG_02871 | CNAG_02892 | CNAG_03096 | CNAG_03113 | CNAG_03158 | CNAG_03335 | CNAG_03532 | CNAG_03648 | CNAG_03725 | CNAG_03832 | CNAG_03855 | CNAG_03916 | CNAG_04320 | CNAG_04355 | CNAG_04383 | CNAG_04718 | CNAG_04731 | CNAG_04732 | CNAG_04851 | CNAG_05023 | CNAG_05148 | CNAG_05268 | CNAG_05318 | CNAG_05365 | CNAG_05822 | CNAG_05828 | CNAG_05851 | CNAG_05881 | CNAG_06050 | CNAG_06379 | CNAG_06501 | CNAG_06918 | CNAG_06930 | CNAG_07527 | CNAG_07570 | CNAG_07937	MetaCyc	
PWY-6407	yersiniabactin biosynthesis	CNAG_00178 | CNAG_00289 | CNAG_00365 | CNAG_00484 | CNAG_01247 | CNAG_01489 | CNAG_01656 | CNAG_01885 | CNAG_02122 | CNAG_02385 | CNAG_04355 | CNAG_04383 | CNAG_04742 | CNAG_05023 | CNAG_05268 | CNAG_05851 | CNAG_06379 | CNAG_07570 | CNAG_07937	MetaCyc	
PWY-6408	pyochelin biosynthesis	CNAG_00178 | CNAG_00289 | CNAG_00365 | CNAG_00484 | CNAG_01247 | CNAG_01489 | CNAG_01656 | CNAG_01885 | CNAG_02122 | CNAG_02385 | CNAG_04355 | CNAG_04383 | CNAG_04742 | CNAG_05023 | CNAG_05268 | CNAG_05851 | CNAG_06379 | CNAG_07570 | CNAG_07937	MetaCyc	
PWY-6409	pyoverdine I biosynthesis	CNAG_00437 | CNAG_00677 | CNAG_00855 | CNAG_00863 | CNAG_00993 | CNAG_01143 | CNAG_01217 | CNAG_01251 | CNAG_01692 | CNAG_01733 | CNAG_01746 | CNAG_02172 | CNAG_02216 | CNAG_02219 | CNAG_02475 | CNAG_02996 | CNAG_03149 | CNAG_03376 | CNAG_03527 | CNAG_03607 | CNAG_03698 | CNAG_03807 | CNAG_03823 | CNAG_03839 | CNAG_04159 | CNAG_04264 | CNAG_04303 | CNAG_04328 | CNAG_04561 | CNAG_04668 | CNAG_04724 | CNAG_05034 | CNAG_05195 | CNAG_05355 | CNAG_05359 | CNAG_05469 | CNAG_05537 | CNAG_05896 | CNAG_06223 | CNAG_06376 | CNAG_06639 | CNAG_06892 | CNAG_07389 | CNAG_07506 | CNAG_07769	MetaCyc	
PWY-641	proanthocyanidins biosynthesis from flavanols	CNAG_01050 | CNAG_01385 | CNAG_02715 | CNAG_02871 | CNAG_02892 | CNAG_03113 | CNAG_03158 | CNAG_03648 | CNAG_03832 | CNAG_03855 | CNAG_04320 | CNAG_05148 | CNAG_05881 | CNAG_06501 | CNAG_06918 | CNAG_07527	MetaCyc	
PWY-6415	L-ascorbate biosynthesis V	CNAG_00005 | CNAG_00331 | CNAG_00488 | CNAG_01512 | CNAG_02012 | CNAG_02312 | CNAG_02748 | CNAG_03560 | CNAG_03564 | CNAG_03697 | CNAG_04152 | CNAG_04410 | CNAG_04869 | CNAG_04969 | CNAG_05677 | CNAG_06313 | CNAG_06504 | CNAG_06922 | CNAG_07544	MetaCyc	
PWY-6419	shikimate degradation II	CNAG_00105 | CNAG_00141 | CNAG_00836 | CNAG_01097 | CNAG_01116 | CNAG_01257 | CNAG_01558 | CNAG_01615 | CNAG_01777 | CNAG_01794 | CNAG_01896 | CNAG_01914 | CNAG_01947 | CNAG_01952 | CNAG_01954 | CNAG_02181 | CNAG_02182 | CNAG_02473 | CNAG_02478 | CNAG_02553 | CNAG_02717 | CNAG_03011 | CNAG_03400 | CNAG_03983 | CNAG_04112 | CNAG_04209 | CNAG_04392 | CNAG_04657 | CNAG_04955 | CNAG_05095 | CNAG_05534 | CNAG_05979 | CNAG_06027 | CNAG_06764 | CNAG_07782 | CNAG_07801	MetaCyc	
PWY-6427	rot-2'-enonate biosynthesis	CNAG_00231 | CNAG_00259 | CNAG_00409 | CNAG_00434 | CNAG_00690 | CNAG_00750 | CNAG_00874 | CNAG_01104 | CNAG_01416 | CNAG_01546 | CNAG_02185 | CNAG_02317 | CNAG_02335 | CNAG_02383 | CNAG_02583 | CNAG_02782 | CNAG_02784 | CNAG_02829 | CNAG_02907 | CNAG_03068 | CNAG_03724 | CNAG_03762 | CNAG_03776 | CNAG_03863 | CNAG_03890 | CNAG_03994 | CNAG_04000 | CNAG_04031 | CNAG_04035 | CNAG_04188 | CNAG_04195 | CNAG_04447 | CNAG_04487 | CNAG_04571 | CNAG_04770 | CNAG_04777 | CNAG_04905 | CNAG_05202 | CNAG_05217 | CNAG_05672 | CNAG_06022 | CNAG_06520 | CNAG_06566 | CNAG_06570 | CNAG_06891 | CNAG_06919	MetaCyc	
PWY-6429	ricinoleate biosynthesis	CNAG_00005 | CNAG_00331 | CNAG_00488 | CNAG_01512 | CNAG_02012 | CNAG_02312 | CNAG_03560 | CNAG_03564 | CNAG_03697 | CNAG_04152 | CNAG_04410 | CNAG_04869 | CNAG_05677 | CNAG_06504 | CNAG_06922 | CNAG_07544	MetaCyc	
PWY-6432	curcuminoid biosynthesis	CNAG_00289 | CNAG_00365 | CNAG_00484 | CNAG_01247 | CNAG_01489 | CNAG_01656 | CNAG_01836 | CNAG_02449 | CNAG_04355 | CNAG_04383 | CNAG_05023 | CNAG_05268 | CNAG_05851 | CNAG_06379 | CNAG_06433 | CNAG_07570 | CNAG_07937	MetaCyc	
PWY-6433	hydroxylated fatty acid biosynthesis (plants)	CNAG_02487 | CNAG_03080 | CNAG_03822 | CNAG_04488	MetaCyc	
PWY-6435	4-hydroxybenzoate biosynthesis V	CNAG_00490 | CNAG_03134 | CNAG_04308 | CNAG_04531 | CNAG_04553 | CNAG_05378	MetaCyc	
PWY-6442	spermidine hydroxycinnamic acid conjugates biosynthesis	CNAG_00231 | CNAG_00259 | CNAG_00409 | CNAG_00434 | CNAG_00690 | CNAG_00750 | CNAG_00874 | CNAG_01104 | CNAG_01416 | CNAG_01546 | CNAG_02185 | CNAG_02317 | CNAG_02335 | CNAG_02383 | CNAG_02583 | CNAG_02782 | CNAG_02784 | CNAG_02829 | CNAG_02907 | CNAG_03068 | CNAG_03724 | CNAG_03762 | CNAG_03776 | CNAG_03863 | CNAG_03890 | CNAG_03994 | CNAG_04000 | CNAG_04031 | CNAG_04035 | CNAG_04188 | CNAG_04195 | CNAG_04447 | CNAG_04487 | CNAG_04571 | CNAG_04770 | CNAG_04777 | CNAG_04905 | CNAG_05202 | CNAG_05217 | CNAG_05672 | CNAG_06022 | CNAG_06520 | CNAG_06566 | CNAG_06570 | CNAG_06891 | CNAG_06919	MetaCyc	
PWY-6443	benzoate biosynthesis I (CoA-dependent, &beta;-oxidative)	CNAG_01137 | CNAG_01836 | CNAG_02449 | CNAG_03427 | CNAG_03942 | CNAG_05376 | CNAG_06433 | CNAG_07908	MetaCyc	
PWY-6446	benzoate biosynthesis III (CoA-dependent, non-&beta;-oxidative)	CNAG_01137 | CNAG_01836 | CNAG_02449 | CNAG_03427 | CNAG_03942 | CNAG_05376 | CNAG_06433 | CNAG_07908	MetaCyc	
PWY-6453	stigma estolide biosynthesis	CNAG_00289 | CNAG_00365 | CNAG_00484 | CNAG_00790 | CNAG_01247 | CNAG_01412 | CNAG_01489 | CNAG_01656 | CNAG_01711 | CNAG_02505 | CNAG_03806 | CNAG_04355 | CNAG_04383 | CNAG_05023 | CNAG_05247 | CNAG_05268 | CNAG_05851 | CNAG_06379 | CNAG_07570 | CNAG_07937	MetaCyc	
PWY-6454	vancomycin resistance I	CNAG_00832	MetaCyc	
PWY-6456	serinol biosynthesis	CNAG_00263 | CNAG_00390 | CNAG_01744 | CNAG_02109 | CNAG_02375 | CNAG_04475 | CNAG_05639 | CNAG_05692 | CNAG_06065 | CNAG_06080 | CNAG_06122 | CNAG_07547 | CNAG_07740	MetaCyc	
PWY-6457	<i>trans</i>-cinnamoyl-CoA biosynthesis	CNAG_01836 | CNAG_02449 | CNAG_06433	MetaCyc	
PWY-6458	benzoyl-CoA biosynthesis	CNAG_01137 | CNAG_03427 | CNAG_03942 | CNAG_05376 | CNAG_07908	MetaCyc	
PWY-6462	peptidoglycan cross-bridge biosynthesis III (Enterococcus faecalis)	CNAG_01501 | CNAG_05538	MetaCyc	
PWY-6463	peptidoglycan cross-bridge biosynthesis IV (Weissella viridescens)	CNAG_01501 | CNAG_05538	MetaCyc	
PWY-6470	peptidoglycan biosynthesis V (&beta;-lactam resistance)	CNAG_00919 | CNAG_01040 | CNAG_01879 | CNAG_02966 | CNAG_05395 | CNAG_06640	MetaCyc	
PWY-6477	gibberellin inactivation II (methylation)	CNAG_00231 | CNAG_00259 | CNAG_00409 | CNAG_00434 | CNAG_00690 | CNAG_00750 | CNAG_00874 | CNAG_01104 | CNAG_01416 | CNAG_01546 | CNAG_02185 | CNAG_02317 | CNAG_02335 | CNAG_02383 | CNAG_02583 | CNAG_02782 | CNAG_02784 | CNAG_02829 | CNAG_02907 | CNAG_03068 | CNAG_03724 | CNAG_03762 | CNAG_03776 | CNAG_03863 | CNAG_03890 | CNAG_03994 | CNAG_04000 | CNAG_04031 | CNAG_04035 | CNAG_04188 | CNAG_04195 | CNAG_04447 | CNAG_04487 | CNAG_04571 | CNAG_04770 | CNAG_04777 | CNAG_04905 | CNAG_05202 | CNAG_05217 | CNAG_05672 | CNAG_06022 | CNAG_06520 | CNAG_06566 | CNAG_06570 | CNAG_06891 | CNAG_06919	MetaCyc	
PWY-6482	diphthamide biosynthesis (archaea)	CNAG_04868 | CNAG_06221 | CNAG_06656	MetaCyc	
PWY-6483	ceramide degradation	CNAG_01165	MetaCyc	
PWY-6494	gibberellin inactivation III (epoxidation)	CNAG_00863 | CNAG_00993 | CNAG_02475 | CNAG_02996 | CNAG_04264 | CNAG_04561 | CNAG_07389	MetaCyc	
PWY-6495	ergotamine biosynthesis	CNAG_00863 | CNAG_00993 | CNAG_01135 | CNAG_02475 | CNAG_02996 | CNAG_04264 | CNAG_04561 | CNAG_07389	MetaCyc	
PWY-6502	oxidized GTP and dGTP detoxification	CNAG_00719 | CNAG_01634 | CNAG_04718 | CNAG_04731 | CNAG_04732 | CNAG_04851 | CNAG_05822 | CNAG_06930	MetaCyc	
PWY-6503	superpathway of ergotamine biosynthesis	CNAG_00863 | CNAG_00993 | CNAG_01135 | CNAG_02475 | CNAG_02996 | CNAG_04264 | CNAG_04561 | CNAG_07389	MetaCyc	
PWY-6505	L-tryptophan degradation XII (Geobacillus)	CNAG_02780 | CNAG_02868 | CNAG_04080	MetaCyc	
PWY-6515	phloridzin biosynthesis	CNAG_00234 | CNAG_00289 | CNAG_00365 | CNAG_00429 | CNAG_00484 | CNAG_01247 | CNAG_01489 | CNAG_01656 | CNAG_02259 | CNAG_04355 | CNAG_04383 | CNAG_04652 | CNAG_05023 | CNAG_05268 | CNAG_05851 | CNAG_06379 | CNAG_06759 | CNAG_06997 | CNAG_07570 | CNAG_07937	MetaCyc	
PWY-6516	superpathway of microbial D-galacturonate and D-glucuronate degradation	CNAG_00032 | CNAG_01079 | CNAG_01776 | CNAG_04374 | CNAG_04394	MetaCyc	
PWY-6517	<i>N</i>-acetylglucosamine degradation II	CNAG_06098 | CNAG_06190	MetaCyc	
PWY-6519	8-amino-7-oxononanoate biosynthesis I	CNAG_00126 | CNAG_02752 | CNAG_04097 | CNAG_04228 | CNAG_04242 | CNAG_04926 | CNAG_05644	MetaCyc	
PWY-6524	lychnose and isolychnose biosynthesis	CNAG_02790 | CNAG_05430 | CNAG_06055	MetaCyc	
PWY-6525	stellariose and mediose biosynthesis	CNAG_01050 | CNAG_01385 | CNAG_02715 | CNAG_02790 | CNAG_02871 | CNAG_02892 | CNAG_03113 | CNAG_03158 | CNAG_03648 | CNAG_03832 | CNAG_03855 | CNAG_04320 | CNAG_05148 | CNAG_05430 | CNAG_05881 | CNAG_06055 | CNAG_06501 | CNAG_06918 | CNAG_07527	MetaCyc	
PWY-6526	limonene degradation III (to perillate)	CNAG_00863 | CNAG_00993 | CNAG_02475 | CNAG_02996 | CNAG_04264 | CNAG_04561 | CNAG_07389	MetaCyc	
PWY-6527	stachyose degradation	CNAG_00601 | CNAG_00696 | CNAG_00697 | CNAG_00831 | CNAG_01421 | CNAG_01987 | CNAG_02081 | CNAG_02748 | CNAG_02860 | CNAG_03096 | CNAG_03240 | CNAG_03532 | CNAG_03875 | CNAG_03946 | CNAG_04183 | CNAG_04498 | CNAG_05607 | CNAG_05915 | CNAG_05991 | CNAG_06050 | CNAG_06051 | CNAG_06052 | CNAG_07318	MetaCyc	
PWY-6535	4-aminobutanoate degradation I	CNAG_01076 | CNAG_02366 | CNAG_02455 | CNAG_02852 | CNAG_04469	MetaCyc	
PWY-6536	4-aminobutanoate degradation III	CNAG_01027 | CNAG_01076 | CNAG_02366 | CNAG_02455 | CNAG_02852 | CNAG_04467 | CNAG_04469	MetaCyc	
PWY-6537	4-aminobutanoate degradation II	CNAG_01076 | CNAG_02366 | CNAG_02455 | CNAG_02852 | CNAG_04469	MetaCyc	
PWY-6540	costunolide biosynthesis	CNAG_00863 | CNAG_00993 | CNAG_02475 | CNAG_02996 | CNAG_04264 | CNAG_04561 | CNAG_07389	MetaCyc	
PWY-6543	4-aminobenzoate biosynthesis	CNAG_00590	MetaCyc	
PWY-6544	superpathway of C28 brassinosteroid biosynthesis	CNAG_00105 | CNAG_00141 | CNAG_00234 | CNAG_00429 | CNAG_00836 | CNAG_00863 | CNAG_00993 | CNAG_01097 | CNAG_01116 | CNAG_01257 | CNAG_01558 | CNAG_01615 | CNAG_01777 | CNAG_01794 | CNAG_01896 | CNAG_01914 | CNAG_01947 | CNAG_01952 | CNAG_01954 | CNAG_02117 | CNAG_02181 | CNAG_02182 | CNAG_02259 | CNAG_02473 | CNAG_02475 | CNAG_02478 | CNAG_02553 | CNAG_02717 | CNAG_02996 | CNAG_03011 | CNAG_03400 | CNAG_03983 | CNAG_04112 | CNAG_04209 | CNAG_04264 | CNAG_04392 | CNAG_04561 | CNAG_04652 | CNAG_04657 | CNAG_04955 | CNAG_05020 | CNAG_05095 | CNAG_05534 | CNAG_05979 | CNAG_06027 | CNAG_06759 | CNAG_06764 | CNAG_06836 | CNAG_06997 | CNAG_07389 | CNAG_07782 | CNAG_07801	MetaCyc	
PWY-6545	pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis III	CNAG_01915 | CNAG_02208 | CNAG_02285 | CNAG_02663 | CNAG_02847 | CNAG_04577 | CNAG_06141	MetaCyc	
PWY-6546	brassinosteroids inactivation	CNAG_01050 | CNAG_01385 | CNAG_02715 | CNAG_02871 | CNAG_02892 | CNAG_03113 | CNAG_03158 | CNAG_03648 | CNAG_03832 | CNAG_03855 | CNAG_04320 | CNAG_05148 | CNAG_05881 | CNAG_06501 | CNAG_06918 | CNAG_07527	MetaCyc	
PWY-6549	L-glutamine biosynthesis III	CNAG_00061 | CNAG_00457 | CNAG_00710 | CNAG_01264 | CNAG_03920 | CNAG_04468 | CNAG_04535 | CNAG_07363 | CNAG_07851	MetaCyc	
PWY-6554	1D-<i>myo</i>-inositol hexakisphosphate biosynthesis V (from Ins(1,3,4)P3)	CNAG_01294	MetaCyc	
PWY-6555	superpathway of 1D-<i>myo</i>-inositol hexakisphosphate biosynthesis (plants)	CNAG_01294	MetaCyc	
PWY-6556	pyrimidine ribonucleosides salvage II	CNAG_02078 | CNAG_02881	MetaCyc	
PWY-6558	heparan sulfate biosynthesis (late stages)	CNAG_00005 | CNAG_00331 | CNAG_00488 | CNAG_01512 | CNAG_02012 | CNAG_02312 | CNAG_03560 | CNAG_03564 | CNAG_03697 | CNAG_04152 | CNAG_04410 | CNAG_04869 | CNAG_05677 | CNAG_06504 | CNAG_06922 | CNAG_07544	MetaCyc	
PWY-6559	spermidine biosynthesis II	CNAG_00256 | CNAG_03854 | CNAG_04347	MetaCyc	
PWY-6562	norspermidine biosynthesis	CNAG_00256 | CNAG_04347	MetaCyc	
PWY-6564	heparan sulfate biosynthesis	CNAG_00005 | CNAG_00331 | CNAG_00488 | CNAG_01512 | CNAG_02012 | CNAG_02312 | CNAG_03560 | CNAG_03564 | CNAG_03697 | CNAG_04152 | CNAG_04410 | CNAG_04869 | CNAG_05677 | CNAG_06504 | CNAG_06922 | CNAG_07544	MetaCyc	
PWY-6565	superpathway of polyamine biosynthesis III	CNAG_00256 | CNAG_03854 | CNAG_04347	MetaCyc	
PWY-6575	juvenile hormone III biosynthesis I	CNAG_00263 | CNAG_00390 | CNAG_01744 | CNAG_02109 | CNAG_02375 | CNAG_04475 | CNAG_05639 | CNAG_05692 | CNAG_06065 | CNAG_06080 | CNAG_06122 | CNAG_07547 | CNAG_07740	MetaCyc	
PWY-6577	farnesylcysteine salvage pathway	CNAG_00266 | CNAG_01304 | CNAG_01491 | CNAG_02161 | CNAG_02534 | CNAG_02542 | CNAG_03216 | CNAG_03769 | CNAG_04927 | CNAG_05480 | CNAG_06553 | CNAG_07377	MetaCyc	
PWY-6579	superpathway of guanine and guanosine salvage	CNAG_02546	MetaCyc	
PWY-6580	phosphatidylinositol biosynthesis I (bacteria)	CNAG_01539	MetaCyc	
PWY-6581	spirilloxanthin and 2,2'-diketo-spirilloxanthin biosynthesis	CNAG_00231 | CNAG_00259 | CNAG_00409 | CNAG_00434 | CNAG_00690 | CNAG_00750 | CNAG_00874 | CNAG_01104 | CNAG_01416 | CNAG_01546 | CNAG_02185 | CNAG_02317 | CNAG_02335 | CNAG_02383 | CNAG_02583 | CNAG_02782 | CNAG_02784 | CNAG_02829 | CNAG_02907 | CNAG_03068 | CNAG_03724 | CNAG_03762 | CNAG_03776 | CNAG_03863 | CNAG_03890 | CNAG_03994 | CNAG_04000 | CNAG_04031 | CNAG_04035 | CNAG_04188 | CNAG_04195 | CNAG_04447 | CNAG_04487 | CNAG_04571 | CNAG_04770 | CNAG_04777 | CNAG_04905 | CNAG_05202 | CNAG_05217 | CNAG_05672 | CNAG_06022 | CNAG_06520 | CNAG_06566 | CNAG_06570 | CNAG_06891 | CNAG_06919	MetaCyc	
PWY-6583	pyruvate fermentation to butanol I	CNAG_00105 | CNAG_00141 | CNAG_00524 | CNAG_00836 | CNAG_01097 | CNAG_01116 | CNAG_01257 | CNAG_01558 | CNAG_01615 | CNAG_01777 | CNAG_01794 | CNAG_01896 | CNAG_01914 | CNAG_01947 | CNAG_01952 | CNAG_01954 | CNAG_02181 | CNAG_02182 | CNAG_02473 | CNAG_02478 | CNAG_02553 | CNAG_02717 | CNAG_02918 | CNAG_03011 | CNAG_03134 | CNAG_03400 | CNAG_03983 | CNAG_04112 | CNAG_04209 | CNAG_04308 | CNAG_04392 | CNAG_04553 | CNAG_04657 | CNAG_04955 | CNAG_05095 | CNAG_05378 | CNAG_05534 | CNAG_05979 | CNAG_06027 | CNAG_06764 | CNAG_07782 | CNAG_07801	MetaCyc	
PWY-6585	2-methylketone biosynthesis	CNAG_00688 | CNAG_02969 | CNAG_03455 | CNAG_05730	MetaCyc	
PWY-6587	pyruvate fermentation to ethanol III	CNAG_00038 | CNAG_00515 | CNAG_01955 | CNAG_02489 | CNAG_02903 | CNAG_06035 | CNAG_07316 | CNAG_07745	MetaCyc	
PWY-6588	pyruvate fermentation to acetone	CNAG_00524 | CNAG_02918	MetaCyc	
PWY-6590	superpathway of <i>Clostridium acetobutylicum</i> acidogenic fermentation	CNAG_00524 | CNAG_02918 | CNAG_03134 | CNAG_04308 | CNAG_04553 | CNAG_05378 | CNAG_06432	MetaCyc	
PWY-6593	sulfoacetate degradation	CNAG_01836 | CNAG_02449 | CNAG_06433	MetaCyc	
PWY-6594	superpathway of <i>Clostridium acetobutylicum</i> solventogenic fermentation	CNAG_00038 | CNAG_00105 | CNAG_00141 | CNAG_00515 | CNAG_00524 | CNAG_00836 | CNAG_01097 | CNAG_01116 | CNAG_01257 | CNAG_01558 | CNAG_01615 | CNAG_01777 | CNAG_01794 | CNAG_01896 | CNAG_01914 | CNAG_01947 | CNAG_01952 | CNAG_01954 | CNAG_01955 | CNAG_02181 | CNAG_02182 | CNAG_02473 | CNAG_02478 | CNAG_02489 | CNAG_02553 | CNAG_02717 | CNAG_02903 | CNAG_02918 | CNAG_03011 | CNAG_03134 | CNAG_03400 | CNAG_03983 | CNAG_04112 | CNAG_04209 | CNAG_04308 | CNAG_04392 | CNAG_04553 | CNAG_04657 | CNAG_04955 | CNAG_05095 | CNAG_05378 | CNAG_05534 | CNAG_05979 | CNAG_06027 | CNAG_06035 | CNAG_06764 | CNAG_07316 | CNAG_07745 | CNAG_07782 | CNAG_07801	MetaCyc	
PWY-6595	superpathway of guanosine nucleotides degradation (plants)	CNAG_06371 | CNAG_06617	MetaCyc	
PWY-6596	adenosine nucleotides degradation I	CNAG_00441 | CNAG_06617 | CNAG_07524	MetaCyc	
PWY-6598	sciadonate biosynthesis	CNAG_02487 | CNAG_03080 | CNAG_04488	MetaCyc	
PWY-6599	guanine and guanosine salvage II	CNAG_02546	MetaCyc	
PWY-6602	C-glycosylflavone biosynthesis I	CNAG_00863 | CNAG_00993 | CNAG_01050 | CNAG_01137 | CNAG_01385 | CNAG_02475 | CNAG_02715 | CNAG_02871 | CNAG_02892 | CNAG_02996 | CNAG_03113 | CNAG_03158 | CNAG_03427 | CNAG_03648 | CNAG_03832 | CNAG_03855 | CNAG_03942 | CNAG_04264 | CNAG_04320 | CNAG_04561 | CNAG_05148 | CNAG_05376 | CNAG_05881 | CNAG_06501 | CNAG_06918 | CNAG_07389 | CNAG_07527 | CNAG_07908	MetaCyc	
PWY-6604	superpathway of <i>Clostridium acetobutylicum</i> acidogenic and solventogenic fermentation	CNAG_00038 | CNAG_00105 | CNAG_00141 | CNAG_00515 | CNAG_00524 | CNAG_00836 | CNAG_01097 | CNAG_01116 | CNAG_01257 | CNAG_01558 | CNAG_01615 | CNAG_01777 | CNAG_01794 | CNAG_01896 | CNAG_01914 | CNAG_01947 | CNAG_01952 | CNAG_01954 | CNAG_01955 | CNAG_02181 | CNAG_02182 | CNAG_02473 | CNAG_02478 | CNAG_02489 | CNAG_02553 | CNAG_02717 | CNAG_02903 | CNAG_02918 | CNAG_03011 | CNAG_03134 | CNAG_03400 | CNAG_03983 | CNAG_04112 | CNAG_04209 | CNAG_04308 | CNAG_04392 | CNAG_04553 | CNAG_04657 | CNAG_04955 | CNAG_05095 | CNAG_05378 | CNAG_05534 | CNAG_05979 | CNAG_06027 | CNAG_06035 | CNAG_06432 | CNAG_06764 | CNAG_07316 | CNAG_07745 | CNAG_07782 | CNAG_07801	MetaCyc	
PWY-6605	adenine and adenosine salvage II	CNAG_01390	MetaCyc	
PWY-6606	guanosine nucleotides degradation II	CNAG_06371 | CNAG_06617	MetaCyc	
PWY-6607	guanosine nucleotides degradation I	CNAG_06617	MetaCyc	
PWY-6608	guanosine nucleotides degradation III	CNAG_06371 | CNAG_06617	MetaCyc	
PWY-6609	adenine and adenosine salvage III	CNAG_02546	MetaCyc	
PWY-6610	adenine salvage	CNAG_01390 | CNAG_02546	MetaCyc	
PWY-6612	superpathway of tetrahydrofolate biosynthesis	CNAG_00590 | CNAG_00719 | CNAG_01634 | CNAG_02786 | CNAG_04010 | CNAG_04718 | CNAG_04731 | CNAG_04732 | CNAG_04764 | CNAG_04851 | CNAG_05822 | CNAG_06930	MetaCyc	
PWY-6613	tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate	CNAG_02795 | CNAG_03543 | CNAG_07746	MetaCyc	
PWY-6614	tetrahydrofolate biosynthesis	CNAG_02786 | CNAG_04764	MetaCyc	
PWY-6619	adenine and adenosine salvage VI	CNAG_06489	MetaCyc	
PWY-6620	guanine and guanosine salvage	CNAG_02546	MetaCyc	
