Pathway Id	Map - Painted With Transformed Genes (new window)	Pathway	Unique Gene Count	Genes
PWY-6733	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6733?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6733 (decorated)</a>"""	sporopollenin precursors biosynthesis	38	CNAG_00105 | CNAG_00141 | CNAG_00836 | CNAG_01097 | CNAG_01116 | CNAG_01257 | CNAG_01558 | CNAG_01615 | CNAG_01777 | CNAG_01794 | CNAG_01896 | CNAG_01914 | CNAG_01947 | CNAG_01952 | CNAG_01954 | CNAG_02181 | CNAG_02182 | CNAG_02473 | CNAG_02478 | CNAG_02553 | CNAG_02717 | CNAG_03011 | CNAG_03019 | CNAG_03400 | CNAG_03983 | CNAG_04112 | CNAG_04209 | CNAG_04392 | CNAG_04485 | CNAG_04657 | CNAG_04955 | CNAG_05095 | CNAG_05534 | CNAG_05979 | CNAG_06027 | CNAG_06764 | CNAG_07782 | CNAG_07801	
PWY-6735	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6735?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6735 (decorated)</a>"""	starch degradation IV	12	CNAG_00601 | CNAG_00696 | CNAG_01421 | CNAG_01987 | CNAG_02081 | CNAG_02860 | CNAG_03240 | CNAG_04183 | CNAG_04498 | CNAG_05607 | CNAG_05915 | CNAG_05991	
PWY-6736	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6736?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6736 (decorated)</a>"""	sulfur volatiles biosynthesis	47	CNAG_00231 | CNAG_00259 | CNAG_00409 | CNAG_00434 | CNAG_00543 | CNAG_00690 | CNAG_00750 | CNAG_00874 | CNAG_01104 | CNAG_01416 | CNAG_01546 | CNAG_02185 | CNAG_02317 | CNAG_02335 | CNAG_02383 | CNAG_02583 | CNAG_02782 | CNAG_02784 | CNAG_02829 | CNAG_02907 | CNAG_03068 | CNAG_03724 | CNAG_03762 | CNAG_03776 | CNAG_03863 | CNAG_03890 | CNAG_03994 | CNAG_04000 | CNAG_04031 | CNAG_04035 | CNAG_04188 | CNAG_04195 | CNAG_04447 | CNAG_04487 | CNAG_04571 | CNAG_04770 | CNAG_04777 | CNAG_04905 | CNAG_05202 | CNAG_05217 | CNAG_05672 | CNAG_06022 | CNAG_06520 | CNAG_06566 | CNAG_06570 | CNAG_06891 | CNAG_06919	
PWY-6737	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6737?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6737 (decorated)</a>"""	starch degradation V	14	CNAG_00601 | CNAG_00696 | CNAG_01421 | CNAG_01987 | CNAG_02081 | CNAG_02860 | CNAG_03240 | CNAG_04183 | CNAG_04498 | CNAG_05607 | CNAG_05915 | CNAG_05991 | CNAG_06313 | CNAG_06666	
PWY-6739	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6739?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6739 (decorated)</a>"""	pinitol biosynthesis II	46	CNAG_00231 | CNAG_00259 | CNAG_00409 | CNAG_00434 | CNAG_00690 | CNAG_00750 | CNAG_00874 | CNAG_01104 | CNAG_01416 | CNAG_01546 | CNAG_02185 | CNAG_02317 | CNAG_02335 | CNAG_02383 | CNAG_02583 | CNAG_02782 | CNAG_02784 | CNAG_02829 | CNAG_02907 | CNAG_03068 | CNAG_03724 | CNAG_03762 | CNAG_03776 | CNAG_03863 | CNAG_03890 | CNAG_03994 | CNAG_04000 | CNAG_04031 | CNAG_04035 | CNAG_04188 | CNAG_04195 | CNAG_04447 | CNAG_04487 | CNAG_04571 | CNAG_04770 | CNAG_04777 | CNAG_04905 | CNAG_05202 | CNAG_05217 | CNAG_05672 | CNAG_06022 | CNAG_06520 | CNAG_06566 | CNAG_06570 | CNAG_06891 | CNAG_06919	
PWY-6749	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6749?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6749 (decorated)</a>"""	CMP-legionaminate biosynthesis I	37	CNAG_00178 | CNAG_00289 | CNAG_00365 | CNAG_00484 | CNAG_00601 | CNAG_00696 | CNAG_01137 | CNAG_01164 | CNAG_01247 | CNAG_01421 | CNAG_01489 | CNAG_01656 | CNAG_01885 | CNAG_01987 | CNAG_02081 | CNAG_02122 | CNAG_02385 | CNAG_02860 | CNAG_03240 | CNAG_03427 | CNAG_03942 | CNAG_04183 | CNAG_04355 | CNAG_04383 | CNAG_04498 | CNAG_04742 | CNAG_05023 | CNAG_05268 | CNAG_05376 | CNAG_05607 | CNAG_05851 | CNAG_05915 | CNAG_05991 | CNAG_06379 | CNAG_07570 | CNAG_07908 | CNAG_07937	
PWY-6756	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6756?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6756 (decorated)</a>"""	<i>S</i>-methyl-5'-thioadenosine degradation II	1	CNAG_00165	
PWY-6760	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6760?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6760 (decorated)</a>"""	xylose degradation III	16	CNAG_00005 | CNAG_00331 | CNAG_00488 | CNAG_01512 | CNAG_02012 | CNAG_02312 | CNAG_03560 | CNAG_03564 | CNAG_03697 | CNAG_04152 | CNAG_04410 | CNAG_04869 | CNAG_05677 | CNAG_06504 | CNAG_06922 | CNAG_07544	
PWY-6762	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6762?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6762 (decorated)</a>"""	salicylate glucosides biosynthesis IV	16	CNAG_01050 | CNAG_01385 | CNAG_02715 | CNAG_02871 | CNAG_02892 | CNAG_03113 | CNAG_03158 | CNAG_03648 | CNAG_03832 | CNAG_03855 | CNAG_04320 | CNAG_05148 | CNAG_05881 | CNAG_06501 | CNAG_06918 | CNAG_07527	
PWY-6763	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6763?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6763 (decorated)</a>"""	salicortin biosynthesis	12	CNAG_00863 | CNAG_00993 | CNAG_01137 | CNAG_02475 | CNAG_02996 | CNAG_03427 | CNAG_03942 | CNAG_04264 | CNAG_04561 | CNAG_05376 | CNAG_07389 | CNAG_07908	
PWY-6766	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6766?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6766 (decorated)</a>"""	salicin biosynthesis	47	CNAG_00131 | CNAG_00161 | CNAG_00162 | CNAG_00472 | CNAG_00984 | CNAG_01102 | CNAG_01542 | CNAG_01605 | CNAG_01627 | CNAG_01714 | CNAG_01772 | CNAG_01981 | CNAG_02295 | CNAG_02577 | CNAG_02692 | CNAG_02839 | CNAG_02840 | CNAG_02933 | CNAG_02935 | CNAG_02958 | CNAG_03194 | CNAG_03199 | CNAG_03272 | CNAG_03410 | CNAG_03464 | CNAG_03465 | CNAG_03555 | CNAG_03623 | CNAG_03754 | CNAG_03834 | CNAG_03865 | CNAG_03874 | CNAG_04229 | CNAG_04471 | CNAG_04521 | CNAG_05024 | CNAG_05090 | CNAG_06074 | CNAG_06169 | CNAG_06241 | CNAG_06360 | CNAG_06554 | CNAG_06815 | CNAG_07365 | CNAG_07865 | CNAG_08017 | CNAG_08027	
PWY-6773	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6773?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6773 (decorated)</a>"""	"1,3-&beta;-D-glucan biosynthesis"	2	CNAG_01941 | CNAG_06508	
PWY-6784	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6784?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6784 (decorated)</a>"""	cellulose and hemicellulose degradation (cellulolosome)	13	CNAG_00601 | CNAG_00696 | CNAG_01421 | CNAG_01987 | CNAG_02081 | CNAG_02860 | CNAG_03240 | CNAG_04183 | CNAG_04498 | CNAG_05607 | CNAG_05915 | CNAG_05964 | CNAG_05991	
PWY-6786	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6786?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6786 (decorated)</a>"""	detoxification of reactive carbonyls in chloroplasts	42	CNAG_00105 | CNAG_00141 | CNAG_00234 | CNAG_00429 | CNAG_00836 | CNAG_01097 | CNAG_01116 | CNAG_01257 | CNAG_01558 | CNAG_01615 | CNAG_01777 | CNAG_01794 | CNAG_01896 | CNAG_01914 | CNAG_01947 | CNAG_01952 | CNAG_01954 | CNAG_02181 | CNAG_02182 | CNAG_02259 | CNAG_02473 | CNAG_02478 | CNAG_02553 | CNAG_02717 | CNAG_03011 | CNAG_03400 | CNAG_03983 | CNAG_04112 | CNAG_04209 | CNAG_04392 | CNAG_04652 | CNAG_04657 | CNAG_04955 | CNAG_05095 | CNAG_05534 | CNAG_05979 | CNAG_06027 | CNAG_06759 | CNAG_06764 | CNAG_06997 | CNAG_07782 | CNAG_07801	
PWY-6787	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6787?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6787 (decorated)</a>"""	flavonoid biosynthesis (in equisetum)	1	CNAG_03340	
PWY-6788	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6788?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6788 (decorated)</a>"""	cellulose degradation II (fungi)	8	CNAG_02588 | CNAG_04104 | CNAG_05369 | CNAG_05411 | CNAG_06931 | CNAG_06936 | CNAG_06985 | CNAG_07600	
PWY-6792	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6792?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6792 (decorated)</a>"""	scopoletin biosynthesis	10	CNAG_00413 | CNAG_00968 | CNAG_01902 | CNAG_02979 | CNAG_03389 | CNAG_05622 | CNAG_06797 | CNAG_06876 | CNAG_07411 | CNAG_07748	
PWY-6793	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6793?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6793 (decorated)</a>"""	demethylmenaquinol-8 biosynthesis III	2	CNAG_04375 | CNAG_05149	
PWY-6797	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6797?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6797 (decorated)</a>"""	6-hydroxymethyl-dihydropterin diphosphate biosynthesis II (archaea)	8	CNAG_00719 | CNAG_01634 | CNAG_04718 | CNAG_04731 | CNAG_04732 | CNAG_04851 | CNAG_05822 | CNAG_06930	
PWY-6799	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6799?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6799 (decorated)</a>"""	fatty acid biosynthesis (plant mitochondria)	19	CNAG_00289 | CNAG_00365 | CNAG_00484 | CNAG_01247 | CNAG_01489 | CNAG_01656 | CNAG_01836 | CNAG_02099 | CNAG_02100 | CNAG_02449 | CNAG_04355 | CNAG_04383 | CNAG_05023 | CNAG_05268 | CNAG_05851 | CNAG_06379 | CNAG_06433 | CNAG_07570 | CNAG_07937	
PWY-6802	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6802?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6802 (decorated)</a>"""	salidroside biosynthesis	8	CNAG_00038 | CNAG_00515 | CNAG_01955 | CNAG_02489 | CNAG_02903 | CNAG_06035 | CNAG_07316 | CNAG_07745	
PWY-6803	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6803?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6803 (decorated)</a>"""	phosphatidylcholine acyl editing	3	CNAG_03019 | CNAG_03822 | CNAG_04485	
PWY-6804	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6804?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6804 (decorated)</a>"""	diacylglycerol biosynthesis (PUFA enrichment in oilseed)	2	CNAG_03174 | CNAG_06543	
PWY-6806	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6806?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6806 (decorated)</a>"""	carotenoid cleavage	1	CNAG_03238	
PWY-6818	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6818?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6818 (decorated)</a>"""	ornithine lipid biosynthesis	14	CNAG_00289 | CNAG_00365 | CNAG_00484 | CNAG_01247 | CNAG_01489 | CNAG_01656 | CNAG_04355 | CNAG_04383 | CNAG_05023 | CNAG_05268 | CNAG_05851 | CNAG_06379 | CNAG_07570 | CNAG_07937	
PWY-6820	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6820?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6820 (decorated)</a>"""	diphyllin biosynthesis	7	CNAG_00863 | CNAG_00993 | CNAG_02475 | CNAG_02996 | CNAG_04264 | CNAG_04561 | CNAG_07389	
PWY-6821	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6821?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6821 (decorated)</a>"""	&kappa;-carrageenan degradation	12	CNAG_00601 | CNAG_00696 | CNAG_01421 | CNAG_01987 | CNAG_02081 | CNAG_02860 | CNAG_03240 | CNAG_04183 | CNAG_04498 | CNAG_05607 | CNAG_05915 | CNAG_05991	
PWY-6823	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6823?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6823 (decorated)</a>"""	molybdenum cofactor biosynthesis	1	CNAG_01442	
PWY-6824	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6824?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6824 (decorated)</a>"""	justicidin B biosynthesis	6	CNAG_00234 | CNAG_00429 | CNAG_02259 | CNAG_04652 | CNAG_06759 | CNAG_06997	
PWY-6825	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6825?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6825 (decorated)</a>"""	phosphatidylcholine biosynthesis V	2	CNAG_03139 | CNAG_06839	
PWY-6829	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6829?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6829 (decorated)</a>"""	tRNA methylation (yeast)	5	CNAG_00086 | CNAG_02989 | CNAG_03214 | CNAG_04360 | CNAG_05485	
PWY-6830	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6830?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6830 (decorated)</a>"""	superpathway of methanogenesis	47	CNAG_00231 | CNAG_00259 | CNAG_00409 | CNAG_00434 | CNAG_00690 | CNAG_00750 | CNAG_00874 | CNAG_01104 | CNAG_01416 | CNAG_01546 | CNAG_02185 | CNAG_02317 | CNAG_02335 | CNAG_02383 | CNAG_02583 | CNAG_02782 | CNAG_02784 | CNAG_02829 | CNAG_02907 | CNAG_03068 | CNAG_03724 | CNAG_03762 | CNAG_03776 | CNAG_03863 | CNAG_03890 | CNAG_03994 | CNAG_04000 | CNAG_04031 | CNAG_04035 | CNAG_04188 | CNAG_04195 | CNAG_04447 | CNAG_04487 | CNAG_04571 | CNAG_04770 | CNAG_04777 | CNAG_04905 | CNAG_05202 | CNAG_05217 | CNAG_05672 | CNAG_06022 | CNAG_06432 | CNAG_06520 | CNAG_06566 | CNAG_06570 | CNAG_06891 | CNAG_06919	
PWY-6831	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6831?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6831 (decorated)</a>"""	pyrrolnitrin biosynthesis	7	CNAG_00863 | CNAG_00993 | CNAG_02475 | CNAG_02996 | CNAG_04264 | CNAG_04561 | CNAG_07389	
PWY-6832	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6832?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6832 (decorated)</a>"""	2-aminoethylphosphonate degradation II	3	CNAG_05029 | CNAG_06010 | CNAG_06018	
PWY-6834	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6834?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6834 (decorated)</a>"""	spermidine biosynthesis III	1	CNAG_00021	
PWY-6835	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6835?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6835 (decorated)</a>"""	6-gingerol biosynthesis	46	CNAG_00231 | CNAG_00259 | CNAG_00409 | CNAG_00434 | CNAG_00690 | CNAG_00750 | CNAG_00874 | CNAG_01104 | CNAG_01416 | CNAG_01546 | CNAG_02185 | CNAG_02317 | CNAG_02335 | CNAG_02383 | CNAG_02583 | CNAG_02782 | CNAG_02784 | CNAG_02829 | CNAG_02907 | CNAG_03068 | CNAG_03724 | CNAG_03762 | CNAG_03776 | CNAG_03863 | CNAG_03890 | CNAG_03994 | CNAG_04000 | CNAG_04031 | CNAG_04035 | CNAG_04188 | CNAG_04195 | CNAG_04447 | CNAG_04487 | CNAG_04571 | CNAG_04770 | CNAG_04777 | CNAG_04905 | CNAG_05202 | CNAG_05217 | CNAG_05672 | CNAG_06022 | CNAG_06520 | CNAG_06566 | CNAG_06570 | CNAG_06891 | CNAG_06919	
PWY-6837	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6837?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6837 (decorated)</a>"""	"fatty acid beta-oxidation V (unsaturated, odd number, di-isomerase-dependent)"	3	CNAG_01135 | CNAG_04238 | CNAG_07747	
PWY-6840	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6840?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6840 (decorated)</a>"""	homoglutathione biosynthesis	1	CNAG_06300	
PWY-6841	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6841?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6841 (decorated)</a>"""	homophytochelatin biosynthesis	2	CNAG_01501 | CNAG_05538	
PWY-6842	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6842?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6842 (decorated)</a>"""	glutathione-mediated detoxification II	27	CNAG_00176 | CNAG_00289 | CNAG_00308 | CNAG_00365 | CNAG_00484 | CNAG_00543 | CNAG_00921 | CNAG_01247 | CNAG_01489 | CNAG_01656 | CNAG_01874 | CNAG_01889 | CNAG_01893 | CNAG_02282 | CNAG_03420 | CNAG_03960 | CNAG_04110 | CNAG_04141 | CNAG_04355 | CNAG_04383 | CNAG_05023 | CNAG_05268 | CNAG_05851 | CNAG_06238 | CNAG_06379 | CNAG_07570 | CNAG_07937	
PWY-6848	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6848?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6848 (decorated)</a>"""	rutin degradation	30	CNAG_00005 | CNAG_00331 | CNAG_00488 | CNAG_00601 | CNAG_00696 | CNAG_01421 | CNAG_01512 | CNAG_01987 | CNAG_02012 | CNAG_02081 | CNAG_02312 | CNAG_02690 | CNAG_02860 | CNAG_03240 | CNAG_03560 | CNAG_03564 | CNAG_03697 | CNAG_04152 | CNAG_04183 | CNAG_04410 | CNAG_04498 | CNAG_04869 | CNAG_05607 | CNAG_05677 | CNAG_05915 | CNAG_05991 | CNAG_06504 | CNAG_06512 | CNAG_06922 | CNAG_07544	
PWY-6854	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6854?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6854 (decorated)</a>"""	ethylene biosynthesis III (microbes)	3	CNAG_01019 | CNAG_02421 | CNAG_04388	
PWY-6855	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6855?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6855 (decorated)</a>"""	chitin degradation I (archaea)	26	CNAG_00002 | CNAG_00343 | CNAG_00601 | CNAG_00696 | CNAG_01044 | CNAG_01421 | CNAG_01987 | CNAG_02006 | CNAG_02081 | CNAG_02085 | CNAG_02226 | CNAG_02598 | CNAG_02860 | CNAG_03170 | CNAG_03240 | CNAG_03412 | CNAG_03743 | CNAG_04183 | CNAG_04498 | CNAG_04866 | CNAG_05396 | CNAG_05607 | CNAG_05915 | CNAG_05991 | CNAG_06098 | CNAG_07712	
PWY-6857	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6857?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6857 (decorated)</a>"""	retinol biosynthesis	4	CNAG_00090 | CNAG_01601 | CNAG_01632 | CNAG_06560	
PWY-6859	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6859?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6859 (decorated)</a>"""	<i>all-trans</i>-farnesol biosynthesis	3	CNAG_00265 | CNAG_02084 | CNAG_05318	
PWY-6863	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6863?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6863 (decorated)</a>"""	pyruvate fermentation to hexanol (engineered)	47	CNAG_00105 | CNAG_00141 | CNAG_00490 | CNAG_00524 | CNAG_00836 | CNAG_01097 | CNAG_01116 | CNAG_01257 | CNAG_01558 | CNAG_01615 | CNAG_01777 | CNAG_01794 | CNAG_01896 | CNAG_01914 | CNAG_01947 | CNAG_01952 | CNAG_01954 | CNAG_02181 | CNAG_02182 | CNAG_02473 | CNAG_02478 | CNAG_02553 | CNAG_02717 | CNAG_02918 | CNAG_03011 | CNAG_03134 | CNAG_03400 | CNAG_03983 | CNAG_04112 | CNAG_04209 | CNAG_04308 | CNAG_04392 | CNAG_04531 | CNAG_04553 | CNAG_04657 | CNAG_04955 | CNAG_05029 | CNAG_05095 | CNAG_05378 | CNAG_05534 | CNAG_05979 | CNAG_06010 | CNAG_06018 | CNAG_06027 | CNAG_06764 | CNAG_07782 | CNAG_07801	
PWY-6871	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6871?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6871 (decorated)</a>"""	3-methylbutanol biosynthesis (engineered)	11	CNAG_00038 | CNAG_00515 | CNAG_00992 | CNAG_01955 | CNAG_02489 | CNAG_02903 | CNAG_04659 | CNAG_05496 | CNAG_06035 | CNAG_07316 | CNAG_07745	
PWY-6873	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6873?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6873 (decorated)</a>"""	long chain fatty acid ester synthesis (engineered)	3	CNAG_03019 | CNAG_04485 | CNAG_04659	
PWY-6876	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
"                     href=\""/fungidb/app/record/pathway/MetaCyc/PWY-6876?geneStepId=110536770&exclude_incomplete_ec=0&exact_match_only=1\"">PWY-6876 (decorated)</a>"""	isopropanol biosynthesis (engineered)	2	CNAG_00524 | CNAG_02918	
PWY-6883	"<a class=\new-window\"""			
"                     data-name=\""pathway_map\"""				
